t (s),V (mV)
375.808,11.2181
376.809,11.2117
377.809,11.2056
378.808,11.1994
379.81,11.194
380.808,11.1874
381.809,11.181
382.809,11.1751
383.809,11.1692
384.808,11.1624
385.809,11.1568
386.809,11.151
387.808,11.1446
388.809,11.139
389.809,11.1327
390.808,11.1258
391.809,11.1209
392.809,11.1145
393.808,11.1081
394.809,11.1021
395.809,11.0965
396.808,11.0904
397.809,11.0834
398.809,11.0787
399.808,11.0717
400.809,11.0661
401.808,11.0594
402.808,11.0533
403.808,11.0471
404.809,11.042
405.809,11.036
406.809,11.0295
407.808,11.0235
408.808,11.0168
409.809,11.0108
410.809,11.005
411.809,10.9994
412.809,10.9927
413.808,10.9866
414.809,10.98
415.809,10.9746
416.808,10.968
417.809,10.962
418.809,10.9546
419.809,10.9498
420.809,10.9439
421.808,10.9371
422.809,10.9301
423.809,10.9248
424.809,10.9184
425.808,10.9138
426.808,10.9078
427.809,10.9105
428.809,10.8953
429.809,10.89
430.809,10.884
431.808,10.878
432.809,10.8718
433.809,10.8632
434.809,10.8598
435.809,10.8555
436.809,10.8487
437.809,10.8447
438.808,10.839
439.809,10.8321
440.809,10.8268
441.809,10.8211
442.809,10.8151
443.808,10.8094
444.809,10.8041
445.809,10.798
446.809,10.7917
447.809,10.7861
448.809,10.7806
449.809,10.7751
450.809,10.7693
451.809,10.7636
452.809,10.7586
453.809,10.7529
454.808,10.7463
455.808,10.7413
456.808,10.7365
