t (s),V (mV)
0,14.0648
0.973,14.0517
1.911,14.0454
2.851,14.0384
3.824,14.0338
4.808,14.0233
5.809,14.0144
6.808,14.0057
7.809,13.996
8.809,13.9868
9.808,13.9784
10.809,13.969
11.809,13.9597
12.809,13.9513
13.809,13.9418
14.808,13.9338
15.809,13.9242
16.808,13.9148
17.809,13.9054
18.808,13.8962
19.809,13.8881
20.808,13.8788
21.809,13.8686
22.809,13.8609
23.808,13.8511
24.809,13.842
25.809,13.833
26.808,13.8237
27.809,13.814
28.808,13.8051
29.809,13.7958
30.808,13.7873
31.808,13.7778
32.809,13.768
33.808,13.7596
34.809,13.7492
35.808,13.7411
36.809,13.731
37.809,13.7226
38.808,13.7129
39.809,13.7035
40.808,13.6961
41.809,13.6866
42.809,13.6777
43.809,13.669
44.808,13.6602
45.809,13.6511
46.809,13.6413
47.809,13.6326
48.808,13.6241
49.808,13.6155
50.809,13.6062
51.808,13.5978
52.809,13.5886
53.809,13.5791
54.808,13.5715
55.809,13.5614
56.808,13.5531
57.809,13.5431
58.809,13.5349
59.808,13.5258
60.809,13.5164
61.808,13.5076
62.808,13.4978
63.809,13.4894
64.808,13.4803
65.809,13.4718
66.808,13.4626
67.808,13.4543
68.809,13.4449
69.808,13.4359
70.809,13.4278
71.809,13.4187
72.808,13.4093
73.809,13.4003
74.808,13.3923
75.809,13.3843
76.809,13.375
77.809,13.3672
78.809,13.3583
79.809,13.3499
80.808,13.3409
81.809,13.3326
82.809,13.3233
83.809,13.3152
84.808,13.3065
85.809,13.2988
86.808,13.2891
87.809,13.2809
88.809,13.272
89.808,13.2627
90.809,13.2547
91.809,13.2463
92.809,13.2376
93.808,13.2295
94.809,13.2203
95.809,13.2129
96.809,13.2045
97.808,13.1959
98.809,13.1876
99.809,13.1795
100.809,13.1714
101.808,13.1639
102.808,13.1564
103.809,13.1472
104.809,13.1389
105.809,13.1304
106.809,13.1222
107.809,13.114
108.809,13.1063
109.808,13.0985
110.809,13.0895
111.809,13.0819
112.809,13.0738
113.808,13.0652
114.809,13.0567
115.809,13.0486
116.809,13.0415
117.808,13.0333
118.808,13.0251
119.809,13.0167
120.809,13.009
121.809,13.0007
122.809,12.994
123.808,12.9853
124.809,12.9775
125.809,12.9692
126.808,12.9619
127.808,12.9546
128.809,12.9468
129.809,12.9393
130.809,12.9304
131.809,12.9221
132.808,12.9145
133.809,12.906
134.809,12.898
135.809,12.8908
136.808,12.8823
137.808,12.8752
138.808,12.8674
139.808,12.8594
140.809,12.8513
141.809,12.8427
142.809,12.8352
143.808,12.8271
144.808,12.8189
145.808,12.8099
146.808,12.8026
147.809,12.7939
148.809,12.7863
149.809,12.7784
150.808,12.771
151.809,12.7627
152.809,12.7552
153.808,12.7472
154.808,12.7401
155.808,12.7316
156.809,12.7244
157.809,12.7165
158.809,12.7083
159.808,12.701
160.808,12.6931
161.808,12.6858
162.809,12.6777
163.809,12.6691
164.808,12.6625
165.808,12.6542
166.808,12.6465
167.808,12.6393
168.809,12.6303
169.809,12.6232
170.809,12.6146
171.809,12.608
172.809,12.5994
173.809,12.5913
174.809,12.5839
175.808,12.5766
176.809,12.5686
177.809,12.5612
178.809,12.5528
179.809,12.5457
180.808,12.5383
181.808,12.5306
182.809,12.5213
183.809,12.5193
184.809,12.5017
185.809,12.4997
186.808,12.4923
187.808,12.4855
188.808,12.4781
189.809,12.4701
190.809,12.4611
191.809,12.4544
192.809,12.447
193.809,12.4391
194.809,12.432
195.815,12.4283
196.809,12.4192
197.809,12.412
198.809,12.4048
199.809,12.3977
200.809,12.3903
201.809,12.3831
202.809,12.376
203.809,12.3692
204.808,12.3619
205.808,12.355
206.809,12.3482
207.809,12.3419
208.809,12.3338
209.809,12.327
210.809,12.3198
211.809,12.3125
212.809,12.3054
213.809,12.2985
214.809,12.2901
215.809,12.2821
216.809,12.2756
217.809,12.2676
218.809,12.2607
219.809,12.2542
220.808,12.2462
221.808,12.2395
222.809,12.2314
223.809,12.2245
224.808,12.2165
225.808,12.2105
226.808,12.203
227.809,12.1958
228.809,12.1884
229.809,12.1816
230.809,12.1737
231.809,12.1671
232.809,12.1597
233.809,12.1519
234.809,12.1447
235.808,12.1373
236.808,12.131
237.808,12.1245
238.808,12.1175
239.808,12.1098
240.808,12.1034
241.808,12.0968
242.809,12.0896
243.808,12.0826
244.809,12.0763
245.809,12.0692
246.809,12.0622
247.809,12.0556
248.809,12.0481
249.809,12.0426
250.809,12.0354
251.808,12.0282
252.808,12.0224
253.808,12.0154
254.808,12.0084
255.808,12.0016
256.808,11.9943
257.809,11.9874
258.809,11.9812
259.809,11.9745
260.809,11.9679
261.809,11.9629
262.809,11.9545
263.809,11.9479
264.809,11.9402
265.809,11.9334
266.809,11.9266
267.809,11.9204
268.809,11.9128
269.809,11.9062
270.808,11.8989
271.808,11.8931
272.809,11.8864
273.809,11.8798
274.809,11.8738
275.809,11.866
276.809,11.8594
277.809,11.8529
278.809,11.846
279.809,11.8401
280.809,11.8335
281.808,11.8266
282.808,11.8195
283.808,11.8127
284.809,11.8066
285.809,11.7999
286.809,11.7923
287.809,11.7859
288.809,11.7796
289.808,11.7726
290.809,11.7666
291.809,11.76
292.809,11.7535
293.809,11.7463
294.809,11.74
295.809,11.7329
296.809,11.7259
297.809,11.7197
298.809,11.7132
299.809,11.7072
300.809,11.7002
301.808,11.6934
302.808,11.6863
303.808,11.6796
304.808,11.673
305.808,11.6668
306.808,11.6592
307.809,11.6535
308.809,11.6465
309.809,11.6399
310.809,11.6332
311.809,11.6263
312.809,11.6199
313.809,11.6132
314.808,11.6064
315.808,11.5995
316.809,11.593
317.809,11.5865
318.809,11.5803
319.808,11.5729
320.808,11.5669
321.808,11.5599
322.809,11.5538
323.809,11.5476
324.809,11.5409
325.808,11.5345
326.808,11.5279
327.808,11.5209
328.808,11.5142
329.809,11.5078
330.809,11.5013
331.809,11.4938
332.809,11.4876
333.809,11.481
334.809,11.475
335.808,11.4683
336.808,11.4613
337.808,11.4554
338.808,11.4488
339.808,11.443
340.809,11.4375
341.809,11.4305
342.808,11.4236
343.808,11.4177
344.808,11.4118
345.808,11.4058
346.808,11.3994
347.808,11.3936
348.809,11.387
349.809,11.3806
350.809,11.3743
351.809,11.3685
352.809,11.3618
353.808,11.3551
354.808,11.3486
355.809,11.3434
356.809,11.3358
357.809,11.3306
358.809,11.3238
359.809,11.3175
360.808,11.3114
361.809,11.3041
362.809,11.2992
363.809,11.292
364.808,11.2858
365.809,11.2802
366.808,11.2741
367.809,11.2665
368.809,11.2608
369.809,11.2553
370.808,11.2487
371.808,11.2423
372.808,11.2364
373.809,11.2307
374.809,11.2243
