t (s),V (mV)
0,13.3373
1.049,13.3313
2.1,13.3155
3.15,13.3079
4.181,13.2927
5.181,13.2809
6.182,13.27
7.181,13.2592
8.182,13.2471
9.181,13.2353
10.182,13.2239
11.182,13.2126
12.182,13.2006
13.181,13.1884
14.182,13.1763
15.181,13.1649
16.182,13.1512
17.182,13.1402
18.182,13.1274
19.181,13.1165
20.181,13.1042
21.182,13.0918
22.182,13.0797
23.181,13.0674
24.182,13.0546
25.182,13.0419
26.182,13.0303
27.181,13.0182
28.182,13.0053
29.182,12.9941
30.182,12.9824
31.181,12.9699
32.181,12.9582
33.182,12.9457
34.183,12.9327
35.181,12.9219
36.182,12.9086
37.182,12.8964
38.182,12.8856
39.181,12.8733
40.181,12.8617
41.182,12.8487
42.182,12.8367
43.182,12.8245
44.182,12.8128
45.181,12.8007
46.181,12.7896
47.182,12.777
48.182,12.7656
49.181,12.7537
50.181,12.7424
51.182,12.7306
52.182,12.7195
53.181,12.7081
54.182,12.696
55.182,12.6841
56.182,12.672
57.181,12.6608
58.181,12.6494
59.182,12.6367
60.182,12.625
61.182,12.613
62.182,12.6017
63.182,12.5906
64.181,12.5784
65.181,12.568
66.182,12.5554
67.182,12.5451
68.182,12.5331
69.182,12.5212
70.181,12.5101
71.181,12.4984
72.181,12.4866
73.181,12.4748
74.182,12.4638
75.182,12.4526
76.181,12.4411
77.181,12.43
78.182,12.4183
79.182,12.4071
80.182,12.3964
81.182,12.3846
82.182,12.3735
83.182,12.3627
84.182,12.3519
85.181,12.3404
86.181,12.3292
87.181,12.319
88.182,12.3066
89.182,12.296
90.182,12.2854
91.182,12.2745
92.182,12.2629
93.182,12.2527
94.182,12.2409
95.182,12.2302
96.182,12.2203
97.182,12.2091
98.182,12.1971
99.181,12.1873
100.181,12.1754
101.182,12.1653
102.182,12.1537
103.182,12.1418
104.181,12.1304
105.181,12.1199
106.181,12.108
107.182,12.0973
108.182,12.0859
109.182,12.0751
110.182,12.064
111.182,12.0538
112.182,12.0428
113.182,12.0319
114.182,12.0205
115.182,12.0095
116.182,11.9998
117.182,11.9877
118.182,11.9771
119.182,11.9668
120.182,11.956
121.182,11.9447
122.182,11.934
123.182,11.9241
124.182,11.9127
125.182,11.9024
126.182,11.8916
127.181,11.8805
128.181,11.8701
129.181,11.8596
130.181,11.8489
131.182,11.8386
132.182,11.8276
133.182,11.8173
134.182,11.8065
135.182,11.7958
136.182,11.7852
137.183,11.7758
138.182,11.7649
139.182,11.7538
140.182,11.7433
141.181,11.7331
142.181,11.7222
143.181,11.7114
144.181,11.7012
145.181,11.6916
146.181,11.6809
147.181,11.6708
148.181,11.6604
149.182,11.6499
150.182,11.6394
151.182,11.6289
152.182,11.6192
153.182,11.6083
154.182,11.5985
155.182,11.5881
156.182,11.5781
157.182,11.5684
158.182,11.5582
159.182,11.5477
160.182,11.5375
161.182,11.5274
162.182,11.5174
163.182,11.5078
164.182,11.4974
165.182,11.4864
166.182,11.4776
167.182,11.4679
168.182,11.4558
169.182,11.4467
170.182,11.4377
171.182,11.4274
172.182,11.4176
173.182,11.4076
174.182,11.3981
175.182,11.3883
176.182,11.3785
177.182,11.3687
178.182,11.3589
179.182,11.3497
180.182,11.3404
181.182,11.3304
182.182,11.3209
183.182,11.3116
184.182,11.3018
185.182,11.2917
186.182,11.2824
187.182,11.2729
188.182,11.263
189.182,11.2537
190.182,11.2439
191.182,11.2339
192.182,11.2248
193.182,11.2153
194.182,11.2053
195.182,11.1954
196.182,11.1856
197.182,11.1765
198.182,11.167
199.182,11.1575
200.182,11.1477
201.182,11.1384
202.182,11.1285
203.182,11.1194
204.182,11.1092
205.181,11.1004
206.181,11.0915
207.181,11.0811
208.181,11.0714
209.181,11.0619
210.181,11.0527
211.181,11.0431
212.181,11.033
213.181,11.0233
214.183,11.0133
215.182,11.004
216.182,10.9949
217.182,10.9847
218.182,10.9745
219.181,10.965
220.182,10.9558
221.182,10.946
222.182,10.9367
223.182,10.9258
224.181,10.9178
225.181,10.9098
226.181,10.8987
227.181,10.889
228.181,10.8786
229.181,10.8698
230.181,10.8603
231.182,10.8514
232.182,10.8417
233.181,10.8323
234.182,10.8227
235.182,10.8137
236.182,10.8047
237.182,10.7941
238.182,10.7846
239.182,10.7751
240.181,10.7661
241.181,10.7563
242.181,10.7479
243.182,10.7381
244.182,10.7295
245.182,10.7203
246.182,10.7116
247.182,10.7022
248.182,10.6939
249.182,10.6859
250.182,10.6764
251.181,10.6668
252.181,10.6587
253.181,10.6495
254.182,10.6405
255.182,10.6323
256.182,10.6233
257.181,10.6143
258.181,10.6051
259.181,10.596
260.181,10.5883
261.181,10.5792
262.181,10.5699
263.181,10.5596
264.181,10.5513
265.181,10.5434
266.18,10.5337
267.18,10.5252
268.18,10.5158
269.18,10.5072
270.18,10.4983
271.18,10.4902
272.181,10.4813
273.181,10.4727
274.181,10.4639
275.181,10.4555
276.181,10.4461
277.181,10.4379
278.181,10.4284
279.181,10.4203
280.181,10.4116
281.181,10.4028
282.181,10.3942
283.181,10.3851
284.181,10.3773
285.181,10.368
286.18,10.36
287.18,10.3505
288.181,10.3424
289.181,10.3332
290.181,10.3243
291.181,10.3156
292.181,10.3071
293.18,10.2981
294.18,10.2904
295.18,10.2807
296.18,10.273
297.181,10.2638
298.181,10.2554
299.181,10.2458
300.18,10.2388
301.181,10.2291
302.181,10.2201
303.181,10.212
304.181,10.2031
305.181,10.1943
306.181,10.1853
307.18,10.1775
308.18,10.1687
309.181,10.1602
310.181,10.151
311.181,10.1424
312.18,10.1343
313.181,10.1248
314.181,10.117
315.181,10.1083
316.18,10.101
317.181,10.0922
318.181,10.0829
319.181,10.0749
320.181,10.0669
321.181,10.0588
322.181,10.0498
323.181,10.0424
324.181,10.0323
