t (s),V (mV)
0,16.8711
1.049,16.8615
2.1,16.8439
3.127,16.8331
4.128,16.8202
5.127,16.8073
6.128,16.7935
7.127,16.7794
8.128,16.7661
9.127,16.7517
10.128,16.7372
11.127,16.7235
12.128,16.7093
13.127,16.6956
14.128,16.6814
15.127,16.6667
16.128,16.6525
17.128,16.6373
18.128,16.6231
19.128,16.6093
20.128,16.5947
21.127,16.5809
22.128,16.5661
23.127,16.5522
24.128,16.5384
25.127,16.5237
26.128,16.5092
27.127,16.4954
28.128,16.4807
29.127,16.4665
30.128,16.4517
31.127,16.4379
32.128,16.4241
33.128,16.4089
34.128,16.3954
35.127,16.3813
36.128,16.3679
37.127,16.3537
38.128,16.3396
39.127,16.3254
40.128,16.3122
41.127,16.2999
42.128,16.2861
43.127,16.2718
44.128,16.2591
45.127,16.2446
46.128,16.2315
47.127,16.2177
48.128,16.2044
49.127,16.1911
50.128,16.1775
51.127,16.1642
52.128,16.1499
53.128,16.1351
54.128,16.1215
55.128,16.108
56.127,16.0933
57.128,16.0792
58.127,16.0661
59.128,16.0517
60.127,16.0384
61.128,16.0245
62.127,16.0109
63.128,15.9968
64.127,15.9839
65.128,15.9693
66.128,15.9564
67.127,15.9446
68.128,15.9288
69.128,15.9152
70.127,15.9018
71.127,15.8889
72.128,15.8766
73.127,15.8658
74.128,15.8488
75.128,15.8374
76.127,15.8238
77.127,15.8116
78.128,15.799
79.128,15.7858
80.128,15.773
81.127,15.7598
82.127,15.7473
83.128,15.7341
84.127,15.7209
85.128,15.7073
86.128,15.6937
87.127,15.6805
88.128,15.6657
89.128,15.6528
90.127,15.6398
91.128,15.6263
92.127,15.6132
93.128,15.5993
94.128,15.5866
95.128,15.5736
96.128,15.5608
97.127,15.5483
98.128,15.5339
99.127,15.5216
100.127,15.5094
101.128,15.4963
102.127,15.4835
103.128,15.4717
104.128,15.4596
105.127,15.4479
106.128,15.4352
107.128,15.422
108.128,15.4101
109.128,15.3976
110.127,15.3852
111.127,15.3721
112.128,15.3606
113.127,15.349
114.128,15.3356
115.127,15.3219
116.127,15.3097
117.128,15.2965
118.128,15.2834
119.127,15.2705
120.128,15.258
121.128,15.2444
122.128,15.2321
123.127,15.2194
124.127,15.2052
125.128,15.1943
126.128,15.1817
127.128,15.1709
128.127,15.1589
129.127,15.1464
130.128,15.1351
131.127,15.1225
132.127,15.1118
133.128,15.0995
134.128,15.0872
135.127,15.076
136.128,15.0637
137.128,15.0517
138.127,15.0399
139.127,15.0278
140.128,15.015
141.127,15.0024
142.128,14.9898
143.128,14.9769
144.128,14.9645
145.128,14.9521
146.127,14.9403
147.128,14.9278
148.128,14.9148
149.127,14.9029
150.127,14.8905
151.128,14.8782
152.128,14.866
153.127,14.8537
154.127,14.8418
155.128,14.8296
156.128,14.8181
157.128,14.8052
158.127,14.7939
159.127,14.7826
160.128,14.7717
161.128,14.7604
162.128,14.7486
163.127,14.7364
164.127,14.7248
165.128,14.7135
166.128,14.7019
167.128,14.6906
168.127,14.6794
169.127,14.6675
170.127,14.6525
171.128,14.6453
172.128,14.6341
173.127,14.6267
174.127,14.6082
175.128,14.5978
176.128,14.5853
177.128,14.5738
178.128,14.5605
179.127,14.5498
180.127,14.5391
181.128,14.5258
182.128,14.5136
183.128,14.5035
184.127,14.4923
185.127,14.4799
186.128,14.467
187.128,14.4554
188.128,14.4448
189.128,14.4328
190.127,14.4219
191.127,14.4104
192.128,14.3991
193.128,14.388
194.128,14.3768
195.128,14.3653
196.127,14.3544
197.127,14.3432
198.127,14.3325
199.128,14.3218
200.127,14.311
201.128,14.3006
202.128,14.289
203.128,14.2782
204.127,14.2667
205.127,14.2561
206.127,14.2448
207.128,14.2342
208.128,14.2233
209.128,14.212
210.127,14.2021
211.127,14.1902
212.128,14.1787
213.128,14.1683
214.128,14.1575
215.128,14.1469
216.128,14.1356
217.127,14.124
218.127,14.1134
219.128,14.1018
220.128,14.0909
221.128,14.079
222.128,14.0687
223.128,14.0577
224.128,14.0471
225.128,14.0358
226.128,14.0247
227.128,14.0139
228.127,14.0029
229.127,13.992
230.127,13.9811
231.128,13.9701
232.128,13.9585
233.128,13.9479
234.127,13.9361
235.127,13.9262
236.128,13.9159
237.128,13.9047
238.128,13.8954
239.128,13.8845
240.128,13.8741
241.127,13.8641
242.127,13.8529
243.127,13.8421
244.127,13.832
245.128,13.8215
246.128,13.812
247.128,13.8006
248.128,13.7903
249.127,13.7798
250.127,13.7693
251.128,13.7587
252.128,13.7486
253.128,13.7386
254.128,13.7282
255.127,13.7178
256.127,13.707
257.127,13.6966
258.127,13.6855
259.127,13.675
260.127,13.6647
261.128,13.6538
262.128,13.6425
263.127,13.6325
264.127,13.6218
265.127,13.6111
266.127,13.601
267.127,13.591
268.127,13.5798
269.128,13.5697
270.128,13.5589
271.128,13.5487
272.128,13.5382
273.128,13.527
274.128,13.5172
275.128,13.5073
276.127,13.4955
277.127,13.4863
278.127,13.4755
279.127,13.4665
280.127,13.4562
281.127,13.4464
282.128,13.4365
283.128,13.4273
284.128,13.4163
285.127,13.4069
286.127,13.3975
287.127,13.3871
288.127,13.3769
289.127,13.3676
290.128,13.357
291.128,13.347
292.128,13.3371
293.128,13.3279
294.127,13.3169
295.128,13.3078
296.128,13.2979
297.128,13.2879
298.128,13.2772
299.127,13.2679
300.128,13.2579
301.127,13.248
302.127,13.2377
303.128,13.2268
304.128,13.2166
305.127,13.2073
306.128,13.1966
307.128,13.1856
308.127,13.1764
309.127,13.1662
310.128,13.1561
311.128,13.1461
312.128,13.1369
313.127,13.1269
314.128,13.1164
315.127,13.107
316.128,13.0975
317.128,13.0876
318.128,13.0782
319.128,13.0683
320.128,13.0582
