t (s),V (mV)
211.829,13.2268
212.829,13.2205
213.828,13.2145
214.829,13.2077
215.829,13.2008
216.828,13.194
217.829,13.1882
218.828,13.182
219.828,13.1758
220.829,13.1676
221.828,13.1615
222.829,13.1538
223.828,13.1476
224.829,13.1414
225.828,13.1358
226.829,13.129
227.829,13.1223
228.829,13.1156
229.829,13.1109
230.829,13.1036
231.828,13.0982
232.829,13.0902
233.829,13.0857
234.829,13.0778
235.829,13.072
236.829,13.0643
237.829,13.059
238.829,13.0522
239.829,13.0461
240.828,13.0393
241.828,13.0338
242.829,13.0266
243.828,13.0213
244.829,13.0143
245.829,13.0086
246.828,13.0023
247.829,12.9964
248.828,12.9899
249.829,12.9839
250.829,12.9773
251.828,12.9715
252.829,12.9656
253.829,12.9596
254.828,12.9531
255.829,12.9477
256.828,12.9423
257.828,12.9358
258.829,12.9287
259.829,12.9237
260.828,12.9173
261.829,12.9111
262.829,12.9043
263.829,12.9001
264.829,12.8856
265.828,12.8868
266.829,12.8797
267.829,12.8743
268.829,12.8677
269.829,12.8609
270.828,12.8564
271.829,12.85
272.829,12.8439
273.829,12.837
274.829,12.8314
275.828,12.8251
276.829,12.8196
277.829,12.8136
278.828,12.8084
279.829,12.802
280.829,12.7956
281.828,12.7901
282.829,12.7842
283.828,12.7782
284.829,12.772
285.828,12.7666
286.829,12.7599
287.828,12.7536
288.829,12.7465
289.829,12.7419
290.828,12.7355
291.829,12.7295
292.829,12.7233
293.828,12.717
294.829,12.7106
295.829,12.7043
296.828,12.6988
297.829,12.6927
298.828,12.6867
299.829,12.6803
300.828,12.6748
301.829,12.6689
302.829,12.6635
303.829,12.6557
304.829,12.65
305.828,12.645
306.829,12.6383
307.829,12.6325
308.829,12.6269
309.828,12.6218
310.829,12.6158
311.829,12.6091
312.828,12.6041
313.829,12.5981
314.829,12.592
315.828,12.5875
316.829,12.5809
317.828,12.5764
318.829,12.5704
319.828,12.5657
320.828,12.5595
321.829,12.5539
322.828,12.5488
323.828,12.5434
324.829,12.5379
325.828,12.5315
326.829,12.5249
327.829,12.5217
328.828,12.5147
329.829,12.5098
330.829,12.504
331.828,12.4989
332.829,12.4936
333.829,12.487
334.828,12.4822
335.829,12.4761
336.829,12.471
337.828,12.4654
338.829,12.4593
339.829,12.4545
340.828,12.449
341.829,12.4427
342.829,12.4382
343.828,12.4328
344.829,12.4265
345.829,12.4213
346.829,12.4155
347.829,12.4104
348.828,12.4049
349.829,12.3986
350.829,12.3934
351.829,12.3876
352.829,12.3825
353.828,12.3779
354.829,12.3719
355.828,12.3667
356.829,12.3608
357.829,12.3554
358.828,12.3502
359.829,12.3444
360.828,12.3389
361.829,12.3335
362.829,12.3272
363.829,12.3223
364.828,12.3171
365.829,12.3113
366.829,12.3049
367.829,12.2993
368.828,12.2934
369.829,12.2885
370.829,12.2828
371.828,12.2776
372.829,12.2716
373.829,12.2673
374.828,12.2614
375.828,12.2568
376.829,12.2518
377.829,12.2443
378.828,12.2405
379.829,12.2345
380.829,12.2295
381.829,12.2242
382.829,12.2176
383.828,12.2132
384.829,12.2085
385.829,12.2022
386.829,12.1966
387.828,12.1911
388.829,12.1862
389.829,12.1804
390.828,12.1746
391.829,12.1702
392.829,12.1644
393.828,12.1598
394.829,12.1536
395.829,12.1477
396.828,12.1427
397.829,12.1379
398.829,12.1318
399.829,12.1266
400.829,12.1214
401.829,12.1155
402.829,12.1093
403.829,12.1043
404.828,12.0997
405.829,12.0945
406.829,12.0888
407.829,12.084
408.829,12.078
409.828,12.072
410.829,12.0687
411.829,12.0617
412.828,12.0568
413.829,12.0517
414.829,12.046
415.828,12.0407
416.829,12.0347
417.829,12.0298
418.829,12.0246
419.828,12.0181
420.829,12.0142
421.829,12.009
422.829,12.004
423.829,11.9972
424.829,11.9922
425.828,11.9873
426.829,11.9815
427.829,11.9764
428.829,11.9718
429.829,11.9676
430.829,11.9617
431.828,11.9562
432.829,11.9513
433.829,11.9453
434.829,11.9409
435.829,11.9362
436.828,11.9316
437.829,11.9256
438.828,11.9216
439.829,11.9171
440.829,11.9109
441.829,11.9063
442.829,11.9025
443.828,11.8973
444.828,11.8918
445.829,11.8867
446.829,11.8815
447.829,11.8766
448.829,11.872
449.828,11.8672
450.828,11.8625
451.829,11.8577
452.829,11.8522
453.828,11.8473
454.828,11.843
455.828,11.8369
456.829,11.8323
457.829,11.8272
458.829,11.822
459.829,11.818
460.829,11.8112
461.829,11.8077
462.829,11.8012
463.829,11.7955
464.828,11.7913
465.828,11.7867
466.828,11.7814
467.828,11.7769
468.828,11.7721
469.829,11.767
470.829,11.7617
471.828,11.7563
472.828,11.7518
473.829,11.747
474.829,11.7422
475.828,11.7359
476.829,11.7316
477.829,11.727
478.829,11.7222
479.829,11.717
480.829,11.712
481.828,11.706
482.828,11.7023
483.829,11.6978
484.829,11.6922
485.829,11.6881
486.829,11.6822
487.829,11.6777
488.828,11.6725
489.829,11.6675
490.829,11.6611
491.829,11.6564
492.828,11.6517
493.828,11.6456
494.829,11.6411
495.829,11.6361
496.829,11.6312
497.828,11.6266
498.829,11.6219
499.828,11.6164
500.829,11.6118
501.829,11.607
502.829,11.6007
503.829,11.5969
504.829,11.5909
505.829,11.586
506.829,11.5786
507.829,11.5786
508.829,11.5713
509.828,11.5672
510.828,11.5625
511.828,11.5569
512.828,11.5525
513.828,11.5478
514.828,11.5418
515.828,11.5383
516.828,11.5324
517.828,11.5271
518.828,11.5231
519.828,11.5173
520.828,11.5121
521.828,11.5073
522.829,11.5034
523.828,11.498
524.829,11.4925
525.829,11.4872
