t (s),V (mV)
0,14.8693
0.973,14.8546
1.911,14.8451
2.851,14.8357
3.829,14.8258
4.829,14.8164
5.829,14.805
6.829,14.7956
7.829,14.7855
8.829,14.7743
9.829,14.7646
10.828,14.7549
11.828,14.7449
12.828,14.7357
13.828,14.7265
14.828,14.7171
15.828,14.7064
16.829,14.6973
17.829,14.6879
18.829,14.6783
19.829,14.6693
20.828,14.6606
21.828,14.6513
22.829,14.6425
23.829,14.6338
24.829,14.6247
25.829,14.6158
26.828,14.6074
27.828,14.5981
28.828,14.5897
29.828,14.5808
30.829,14.5717
31.829,14.5632
32.829,14.5545
33.828,14.5471
34.828,14.538
35.828,14.5296
36.829,14.5211
37.829,14.5123
38.829,14.5045
39.829,14.4958
40.828,14.4873
41.828,14.4784
42.828,14.47
43.829,14.4612
44.829,14.4535
45.829,14.4439
46.828,14.4376
47.828,14.4289
48.828,14.4195
49.828,14.4102
50.829,14.4026
51.829,14.3934
52.828,14.3859
53.829,14.3777
54.829,14.3693
55.829,14.3614
56.828,14.3526
57.829,14.3449
58.829,14.3357
59.829,14.3282
60.828,14.32
61.828,14.3119
62.828,14.3037
63.829,14.2959
64.829,14.2875
65.829,14.2809
66.828,14.2723
67.828,14.2653
68.829,14.2567
69.829,14.2485
70.829,14.2394
71.829,14.2313
72.828,14.2236
73.828,14.2157
74.829,14.2076
75.829,14.1999
76.828,14.1922
77.828,14.1842
78.829,14.176
79.829,14.1682
80.829,14.1611
81.828,14.153
82.829,14.1445
83.829,14.136
84.828,14.1273
85.828,14.1218
86.828,14.1139
87.828,14.1067
88.829,14.0989
89.829,14.0909
90.829,14.0832
91.828,14.0756
92.828,14.0663
93.829,14.0611
94.829,14.0514
95.828,14.0444
96.828,14.0355
97.829,14.0273
98.828,14.0211
99.828,14.0124
100.828,14.0044
101.829,13.9966
102.829,13.9887
103.828,13.9815
104.829,13.9734
105.829,13.9661
106.828,13.9566
107.828,13.9499
108.829,13.9424
109.829,13.9362
110.828,13.9278
111.828,13.9206
112.828,13.9127
113.829,13.9052
114.829,13.8969
115.828,13.8899
116.828,13.8819
117.828,13.8753
118.829,13.8677
119.829,13.8604
120.828,13.8534
121.828,13.8457
122.829,13.8378
123.829,13.8303
124.828,13.8226
125.828,13.814
126.829,13.8075
127.829,13.8008
128.828,13.7934
129.829,13.7867
130.829,13.7762
131.828,13.7718
132.829,13.766
133.829,13.7576
134.828,13.7508
135.829,13.7446
136.828,13.7383
137.829,13.7294
138.828,13.7216
139.829,13.7144
140.829,13.7073
141.828,13.6988
142.828,13.6919
143.829,13.6852
144.828,13.6779
145.829,13.6717
146.829,13.6632
147.828,13.6561
148.828,13.6493
149.829,13.642
150.828,13.6353
151.829,13.6287
152.828,13.6203
153.829,13.6131
154.829,13.6068
155.828,13.5991
156.828,13.5919
157.829,13.5851
158.828,13.5772
159.829,13.5702
160.829,13.5647
161.828,13.5583
162.829,13.5515
163.829,13.5447
164.829,13.5378
165.828,13.5317
166.829,13.5247
167.829,13.5178
168.829,13.511
169.828,13.5039
170.829,13.498
171.829,13.4903
172.828,13.4847
173.829,13.4777
174.828,13.471
175.828,13.4646
176.829,13.4576
177.828,13.4503
178.829,13.4441
179.829,13.4367
180.829,13.4304
181.828,13.4235
182.829,13.4163
183.829,13.409
184.828,13.403
185.829,13.3959
186.829,13.389
187.829,13.3824
188.829,13.3753
189.828,13.3691
190.829,13.3629
191.828,13.3565
192.829,13.3495
193.828,13.3438
194.829,13.3367
195.828,13.3305
196.829,13.3229
197.828,13.3174
198.829,13.3106
199.828,13.3033
200.829,13.2967
201.829,13.2907
202.828,13.284
203.829,13.278
204.828,13.2724
205.829,13.2659
206.828,13.2591
207.829,13.2532
208.828,13.2462
209.829,13.2396
210.828,13.2329
